ORF.1	ORF.2
YHR122W	YIL128W
YCR043C	YPL246C
YIL034C	YNL138W
YGR284C	YHR039C
YBL039C	YLR027C
YKL013C	YLR337C
YOR095C	YOR095C
YDL160C	YNL016W
YBR106W	YDL212W
YJL020C	YMR109W
YKR035W-A	YKR035W-A
YLR438C-A	YNL118C
YLR110C	YLR350W
YDL123W	YHR094C
YGR284C	YOR016C
YAR042W	YAR042W
YDL222C	YKL051W
YGR055W	YMR011W
YGL203C	YKR088C
YDL192W	YML086C
YML072C	YOR273C
YBL007C	YBR234C
YPL101W	YPL101W
YBR207W	YEL013W
YMR149W	YNL130C
YLR337C	YNR035C
YFL047W	YFL047W
YDL123W	YLL048C
YGL077C	YLR219W
YGL055W	YOR273C
YGR055W	YLR326W
YOR039W	YOR061W
YGL077C	YGL108C
YAR002C-A	YGR284C
YDL123W	YJL154C
YAR002C-A	YGL001C
YDL212W	YML038C
YBL029C-A	YLL028W
YDR189W	YPL246C
YHR089C	YNL186W
YHR158C	YHR158C
YKL004W	YMR010W
YML072C	YMR011W
YER145C	YMR058W
YGR065C	YML072C
YGL055W	YIL027C
YGR261C	YLR330W
YOL147C	YPL112C
YCR093W	YKL054C
YHR001W	YML072C
YDR032C	YMR120C
YCR009C	YMR192W
YBR106W	YML055W
YNR051C	YNR051C
YBR244W	YGL077C
YBR177C	YLL012W
YEL002C	YLR350W
YOR027W	YOR027W
YER068W	YNL288W
YER020W	YML072C
YDR497C	YER145C
YBR214W	YFR040W
YBR177C	YIL124W
YHR072W	YKL094W
YBL029C-A	YER145C
YBR207W	YPR036W
YDR486C	YLR025W
YBL017C	YOL129W
YER166W	YER166W
YGR284C	YGR284C
YJL154C	YJL154C
YBL026W	YCR093W
YDL222C	YDR497C
YER112W	YER112W
YDL222C	YLL028W
YML012W	YPL246C
YBR207W	YOR270C
YLL043W	YLL043W
YHR123W	YPL246C
YHR089C	YOR206W
YNL255C	YPL119C
YGL006W	YGL006W
YGL014W	YGL014W
YDR032C	YML016C
YDL131W	YDL131W
YIL068C	YNR049C
YER166W	YLR330W
YDL192W	YOL137W
YGL077C	YMR010W
YFL048C	YGL006W
YDR189W	YPR105C
YBR244W	YPR156C
YGR055W	YLR219W
YFL005W	YOR370C
YLR200W	YNL153C
YJL151C	YPL058C
YDR264C	YMR010W
YML012W	YPL087W
YGL120C	YHR072W-A
YAR002C-A	YHR039C
YKL172W	YOR206W
YLR219W	YLR219W
YGL099W	YPR016C
YDL160C	YOR204W
YBR207W	YPR079W
YBL029C-A	YKL051W
YDR398W	YIL127C
YIL034C	YNR035C
YAR002W	YLR347C
YOR145C	YPL263C
YJL192C	YLR350W
YML072C	YNL283C
YGL212W	YMR231W
YBR264C	YER136W
YGR284C	YKL088W
YDL192W	YJL151C
YNL197C	YPR129W
YDR068W	YDR264C
YCR093W	YNL197C
YCR028C-A	YKL051W
YGR281W	YLR332W
YPR189W	YPR189W
YLR324W	YLR324W
YDL123W	YML121W
YER020W	YER145C
YAL053W	YER145C
YDR515W	YKL054C
YIL009W	YPL058C
YLR370C	YLR370C
YCR093W	YNL091W
YDL222C	YGR130C
YDR507C	YPL058C
YAL053W	YDL222C
YER145C	YPL221W
YBL102W	YDR100W
YCR028C-A	YDL222C
YMR292W	YOR165W
YDR100W	YOR069W
YLR337C	YLR370C
YML058W-A	YMR120C
YDL222C	YGR138C
YKL096W-A	YML086C
YGL023C	YKR007W
YGR065C	YLR413W
YJR010C-A	YLR350W
YBR177C	YKL140W
YBR106W	YJR117W
YML121W	YML121W
YNL288W	YNL288W
YLR328W	YLR328W
YLL001W	YML086C
YDL212W	YLR350W
YDL212W	YJL192C
YMR080C	YNL118C
YCR093W	YDL160C
YIL105C	YLR332W
YHR096C	YPL058C
YHR012W	YOR069W
YBL007C	YLR337C
YDR011W	YGR138C
YCR021C	YGR138C
YGR284C	YML031W
YDR068W	YDR100W
YGR119C	YGR119C
YIL043C	YLR350W
YBR102C	YDR166C
YGL023C	YGR163W
YGR055W	YOR273C
YBR023C	YER166W
YCR021C	YDL222C
YDL222C	YOR273C
YGL077C	YGR281W
YDL192W	YOL147C
YNL064C	YNL064C
YDL222C	YLR332W
YLR370C	YML058W-A
YML086C	YML086C
YER145C	YLR332W
YGL077C	YNL283C
YBL102W	YDR264C
YDL225W	YJR076C
YFL048C	YML012W
YER112W	YGR054W
YGL077C	YML072C
YJR010C-A	YML055W
YHR094C	YPL058C
YML067C	YPL246C
YKL051W	YOR273C
YNL307C	YOL147C
YHR094C	YLR332W
YDR501W	YPL058C
YDL192W	YDR264C
YLR056W	YML012W
YJL153C	YML058W-A
YLR033W	YPL227C
YER063W	YNL112W
YHR094C	YOR153W
YLR319C	YLR319C
YCR043C	YDR264C
YJL153C	YJL153C
YGR055W	YGR138C
YBR177C	YHR003C
YER020W	YKL051W
YLR350W	YML055W
YIL070C	YLR332W
YBR130C	YBR130C
YIR038C	YML012W
